2616,450
2572,450
2502,432
2408,390
2340,352
2272,296
2216,266
2152,266
2086,292
2020,338
1986,386
1942,474
1886,514
1840,532
1768,518
1692,474
1634,426
1574,388
1508,360
1422,372
1334,398
------
-64,696
14,638
110,556
208,452
294,320
316,232
310,138
272,70
202,50
136,68
102,124
110,194
146,266
362,434
458,534
498,606
508,654
486,686
388,728
302,710
278,658
268,618
310,538
580,374
698,272
740,204
740,148
702,96
622,80
540,122
544,208
608,284
778,386
868,422
970,492
1012,562
1016,616
956,674
884,716
816,722
754,714
700,650
718,586
782,516
976,412
1114,328
1166,258
1194,188
1178,124
1138,74
1086,72
1026,110
978,172
964,258
980,362
1088,418
1198,430
1334,398
