-70,746
6,700
292,354
340,226
320,130
252,68
184,68
128,100
110,152
322,542
326,640
314,694
282,748
216,766
162,710
200,604
262,534
472,344
506,276
514,216
494,172
400,106
322,96
262,130
276,228
546,576
564,652
542,694
476,742
442,726
416,658
454,560
678,244
698,186
682,118
626,74
560,82
494,122
466,194
488,252
750,532
766,612
758,674
728,714
670,724
630,692
638,594
686,510
860,292
900,230
914,168
890,110
832,102
790,124
756,198
760,274
784,334
956,550
990,610
986,684
962,724
920,730
886,696
862,624
880,546
1094,276
1124,214
1124,154
1098,130
1034,144
998,198
962,288
968,380
1018,438
1066,444
1168,408
1276,402
------
2606,408
1276,402
