6,90
60,86
130,90
214,102
270,118
334,142
384,174
430,234
488,310
534,356
572,368
652,344
692,320
808,230
872,166
938,132
1038,98
1138,72
1264,60
1360,66
1442,82
1504,118
1566,172
1624,238
1658,276
1708,290
1754,278
1816,236
1900,166
1952,140
2050,106
2126,84
2208,70
2282,80
2326,100
2356,140
2370,190
2366,260
2346,318
2300,388
2242,432
2178,498
2122,546
2056,602
1992,630
1904,640
1814,620
1722,578
1638,528
1556,486
1464,452
1392,438
1278,404
------
2546,660
2502,668
2426,672
2354,652
2292,612
2222,548
2162,480
2110,436
2048,414
1986,406
1924,424
1862,466
1800,536
1742,614
1686,660
1610,698
1522,722
1428,734
1348,728
1278,698
1212,626
1164,576
1118,536
1028,504
960,498
884,528
834,574
792,634
750,670
690,700
628,718
556,716
480,700
424,668
378,624
350,568
338,516
338,474
372,418
416,372
470,332
512,294
576,246
634,214
696,194
764,182
830,188
886,204
948,234
1030,288
1090,328
1152,364
1280,404
