-64,102
24,72
116,72
216,90
302,128
370,192
428,262
470,318
526,358
586,374
656,356
738,312
810,250
898,190
978,148
1058,108
1152,78
1242,56
1314,46
1400,66
1472,104
1526,148
1596,212
1664,248
1728,254
1794,240
1858,216
1930,182
2002,132
2076,92
2146,76
2218,74
2288,96
2324,132
2338,198
2330,286
2308,356
2278,412
2230,468
2176,516
2110,560
2044,608
1968,640
1890,666
1800,664
1712,630
1648,588
1590,538
1534,482
1472,438
1390,412
1338,398
1282,358
------
2610,634
2514,642
2430,644
2336,626
2266,594
2204,536
2152,474
2102,416
2064,378
1994,348
1932,360
1858,388
1794,432
1744,478
1676,518
1610,554
1538,592
1460,630
1384,646
1296,668
1238,668
1164,654
1098,620
1044,578
998,534
930,490
876,468
822,464
748,488
688,508
632,534
584,572
520,610
444,638
368,646
300,638
248,600
230,544
224,486
234,424
258,364
292,300
334,252
376,216
432,172
508,122
574,88
648,58
714,52
786,58
844,78
898,114
956,160
994,206
1046,248
1110,282
1176,304
1236,316
1284,358
