148,-64
166,30
184,118
236,216
316,322
402,412
496,492
604,570
702,634
832,696
960,736
1112,752
1288,750
1466,738
1620,714
1730,670
1846,608
1922,536
1958,460
1964,360
1922,284
1848,228
1754,194
1632,174
1520,170
1404,176
1298,190
1218,208
1168,244
1118,290
1100,352
1116,400
1162,448
1210,468
1258,460
1302,440
1404,368
------
2408,870
2434,794
2442,716
2434,634
2404,536
2358,438
2294,346
2226,270
2168,210
2076,150
1960,104
1850,74
1766,56
1684,48
1594,46
1506,46
1420,58
1324,74
1236,84
1156,104
1082,130
1008,170
946,218
884,276
848,322
830,374
844,444
884,510
972,550
1070,586
1184,608
1306,612
1412,600
1512,570
1596,534
1666,482
1690,398
1642,354
1568,330
1512,336
1404,368
